id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Sunrise,Luna Bay,rnb,smooth,0.58,102,0.74,0.76,0.31
12,Static Hearts,Crystal Youth,edm,euphoric,0.95,128,0.86,0.91,0.04
13,Autumn Letters,Maple Choir,acoustic,nostalgic,0.33,84,0.68,0.47,0.88
14,Chrome Skies,Pixel Driver,synthwave,moody,0.79,116,0.53,0.75,0.19
15,Deep Blue Hours,Blue Static,jazz,calm,0.30,88,0.57,0.50,0.83
16,Fireline,Iron Anthem,metal,aggressive,0.97,145,0.41,0.44,0.03
17,Golden Dusk,Willow Avenue,indie pop,dreamy,0.61,108,0.79,0.72,0.40
18,Quiet Pages,Hush Circuit,ambient,focused,0.24,64,0.52,0.38,0.95
19,Run Tonight,Starline,pop,excited,0.89,126,0.90,0.87,0.09
20,Echoes and Asphalt,North Harbor,rock,moody,0.81,138,0.46,0.64,0.12